,CL=F,GC=F,NG=F,SI=F,^AXJO,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^IBEX,^KS11,^MXX,^N225,^NDX,^NSEI,^RUT,^STOXX50E,^TWII,^VIX
2012-01-06,0.19998896900497118,0.19998865076615255,-4.00856248926415e-06,0.19999341894354497,-7.527532676671038e-06,-8.35298687437937e-06,-7.11990281079095e-06,-6.809268944089568e-06,-6.766885334110723e-06,-7.221884645342658e-06,-7.443362959925151e-06,-6.98479586094639e-06,0.05600038633332557,-8.611084684260073e-06,-7.801751183100598e-06,0.19998149286965175,0.1999859111097115,-8.419841997563071e-06,0.07650382379064197,-8.278208511762397e-06,-6.684930269904057e-06,-0.09996845063376104,0.16763779465316805,-0.2000099131813642
2012-01-13,0.19999901358309408,0.2000008837494697,-1.3076795170018037e-06,0.19999906904958348,-2.341163401415639e-06,-2.1528204847883913e-06,-2.9517775768748925e-06,-2.412103688785065e-06,-2.8656829209288367e-06,-2.9231767323847297e-06,-3.043214394408379e-06,-2.7258847616713987e-06,0.10301526923481122,-2.312077862386671e-06,-2.194894493092521e-06,0.20000054618845292,0.20000043091330216,0.016024821244929675,0.13544404106203556,-2.177663820219019e-06,-3.2753915431891373e-06,-0.09993282547152355,0.045478691565737694,-0.19999725221570266
2012-01-20,0.19999515090714542,0.19999502459803453,1.5224992275361706e-07,0.19999506594366584,2.605880307563589e-07,1.6509583740640315e-07,2.480442181084282e-07,2.763618193886008e-07,3.023028448090632e-07,0.017527338478820025,3.09198211665362e-07,2.7609769806876595e-07,0.19999511836257505,2.128617335475079e-07,3.047844950380138e-07,0.0825664212606297,0.19999513925274012,2.3839955138682023e-07,2.552640340221515e-07,-0.10007340858805354,2.7698112508318286e-07,-0.19999444728619117,0.19999510165473372,2.1555893237538824e-07
2012-01-27,0.20000266584653892,0.20000269338396584,3.1535088110733296e-06,0.20000267748017514,3.135211709199403e-06,3.1368667760190127e-06,3.1343317454768377e-06,0.20000268503483754,3.1202199051825986e-06,3.1303691005009707e-06,3.119071699868776e-06,3.131941574610838e-06,0.2000026721388309,3.135024732372311e-06,3.1212616261481935e-06,0.09998514949901714,0.2000026693994614,3.1357210499086456e-06,3.1344326654728255e-06,3.1369366753430464e-06,3.128015957690328e-06,-0.10005515290731101,3.1337166476165478e-06,-0.19999306755740728
2012-02-03,0.20000010086404293,0.20000007226021474,-2.0843235021141413e-07,0.20000004228483154,-2.2285564471383958e-07,-2.1711847781626215e-07,-2.2072138808102496e-07,0.1999994996623872,-2.280567622204371e-07,-2.2623823370949252e-07,-2.295994232548693e-07,-2.2907186687490956e-07,0.20000010724147563,-2.1890178427556538e-07,-2.3014802113454224e-07,0.05287544451662215,0.20000010881289407,-2.2453208160352552e-07,-2.2829698482238814e-07,-0.0999934399840387,-2.286834260308366e-07,-0.20000068116792755,-2.2304513107892533e-07,0.0471218827046226
2012-02-10,0.20000027119999733,0.2000005662695925,2.9560888898200242e-06,0.20000016419736938,2.9547480415484855e-06,2.936698765102144e-06,2.861682528634687e-06,0.20000056312923548,2.8414734472667037e-06,2.8965873866131237e-06,0.07206921130261401,2.898796907239183e-06,0.20000043584224303,2.8790490109949e-06,2.8872944153830364e-06,2.8882126060669117e-06,0.20000042874954874,2.991273268796344e-06,2.9074859069147024e-06,-0.10008263137931882,2.81743019711237e-06,-0.19999136913765245,2.9374294176255367e-06,0.027961684846297227
2012-02-17,0.20000000866221504,0.20000001301891404,-4.1372540596089955e-08,0.20000001080696148,-4.317542804731726e-08,-4.163686930836834e-08,-4.230194600973037e-08,0.20000001025664663,-4.4180606579205256e-08,-4.3693570632487194e-08,0.009995054155994177,-4.37917455754857e-08,0.20000000864004164,-4.162714819659638e-08,-4.423129563752618e-08,-4.205254195432244e-08,0.2000000091203238,-4.2507513640935636e-08,-4.345470184998026e-08,-0.0999986174003506,-4.370753368291935e-08,-0.20000012697092334,-4.2117201048763734e-08,0.09000422984865321
2012-02-24,0.19999981639783213,0.19999975355124594,-4.6919301990673964e-08,0.1999997941357051,3.480490349763348e-08,-6.538434103051062e-08,1.5864067138185597e-08,7.993569434513695e-08,4.248198827444617e-08,4.0623264692189545e-08,0.18567760429380328,8.304577827819781e-08,0.19999973855358227,-4.840535948361432e-09,4.209655673032723e-08,-6.101025026015461e-10,0.199999740339882,1.8397438651405184e-09,7.569739259300995e-08,-0.1000029297609431,-3.7502166051437406e-07,-0.1999997237761731,-1.997177040992295e-09,0.11432628450630418
2012-03-02,0.19999231015681643,0.19998999162811812,-1.3995026206992492e-05,0.19999348277897977,-4.142481419917425e-06,-8.833578480347456e-06,-6.8776519726948974e-06,-3.1975092821209524e-06,-9.641651799780476e-07,-3.84729598471146e-06,0.040783765582915195,-3.7188503633904565e-06,0.19999445845152536,-6.745391306892266e-06,-1.642385959209952e-08,0.027040922246534642,0.19999590627053473,-4.719557313740703e-06,-5.562193827666283e-06,-0.09994759176800143,0.11714093653663965,-0.20000224798228797,-5.131398857291066e-06,0.11508585305030157
2012-03-09,0.19998687497560083,0.19998563571068023,-6.578195723248241e-06,0.1999860428826278,-5.09266945375966e-06,-5.339069854540829e-06,-5.149354868346398e-06,-4.737539544258927e-06,-3.864234466635979e-06,-4.495241460139935e-06,-3.93306621021093e-06,-4.703334053854971e-06,0.1999866271726456,-5.446228946517557e-06,-3.8348987244159935e-06,0.10019267107981847,0.19998688138764398,-5.262327877961862e-06,-4.881649775165645e-06,-0.20000238386459346,0.19998691463276744,-0.10003098482430986,-5.290936291362151e-06,-9.631505870833377e-06
